.smooth,.by,.fs,.derivative,.se,.crit,.lower_ci,.upper_ci,PC1_Ciclo,PC1_Moneda
s(PC1_Moneda),NA,NA,-0.05132892933341784,0.027068762723883758,1.9599639845400536,-0.10438272937829032,0.0017248707114546485,NA,-4.720637836660713
s(PC1_Moneda),NA,NA,-0.050617105720952196,0.026397205602515968,1.9599639845400536,-0.10235467799438241,0.0011204665524780291,NA,-4.64016010103809
s(PC1_Moneda),NA,NA,-0.04981769020715218,0.025661227787425835,1.9599639845400536,-0.10011277246958526,4.77392055280898e-4,NA,-4.559682365415466
s(PC1_Moneda),NA,NA,-0.048930428862019246,0.02486445845016877,1.9599639845400536,-0.09766387191944263,-1.969858045958589e-4,NA,-4.479204629792843
s(PC1_Moneda),NA,NA,-0.04795531423813449,0.024010123508646408,1.9599639845400536,-0.09501429157943991,-8.963368968290669e-4,NA,-4.39872689417022
s(PC1_Moneda),NA,NA,-0.046892433055295106,0.023102536821153194,1.9599639845400536,-0.09217257317626582,-0.00161229293432439,NA,-4.318249158547596
s(PC1_Moneda),NA,NA,-0.04574477149616973,0.022155714674147852,1.9599639845400536,-0.08916917430924509,-0.002320368683094369,NA,-4.237771422924973
s(PC1_Moneda),NA,NA,-0.04451466425555415,0.021181390768960407,1.9599639845400536,-0.0860294273051857,-0.0029999012059225977,NA,-4.157293687302349
s(PC1_Moneda),NA,NA,-0.04320721306158139,0.020196613287996205,1.9599639845400536,-0.08279184771573703,-0.003622578407425754,NA,-4.076815951679727
s(PC1_Moneda),NA,NA,-0.04182332567444555,0.019209221386832016,1.9599639845400536,-0.07947270776369283,-0.004173943585198257,NA,-3.996338216057103
s(PC1_Moneda),NA,NA,-0.04036645722717726,0.018231717375150277,1.9599639845400536,-0.07609996665878492,-0.004632947795569595,NA,-3.9158604804344797
s(PC1_Moneda),NA,NA,-0.038842838836131224,0.017280729635240955,1.9599639845400536,-0.07271244654777748,-0.0049732311244849725,NA,-3.8353827448118567
s(PC1_Moneda),NA,NA,-0.037252601023077564,0.01636361490830501,1.9599639845400536,-0.06932469690023807,-0.005180505145917051,NA,-3.7549050091892333
s(PC1_Moneda),NA,NA,-0.035595738416376546,0.015489126531138667,1.9599639845400536,-0.06595386856939214,-0.005237608263360945,NA,-3.67442727356661
s(PC1_Moneda),NA,NA,-0.033872257438566464,0.014667894545073982,1.9599639845400536,-0.06262080247594298,-0.005123712401189945,NA,-3.5939495379439865
s(PC1_Moneda),NA,NA,-0.032083775382234704,0.013913629968700046,1.9599639845400536,-0.05935398901510395,-0.0048135617493654595,NA,-3.513471802321363
s(PC1_Moneda),NA,NA,-0.030241084380641277,0.013245175554562361,1.9599639845400536,-0.05620115143649383,-0.004281017324788718,NA,-3.4329940666987397
s(PC1_Moneda),NA,NA,-0.028346185037389685,0.012672643782200864,1.9599639845400536,-0.05318411043940882,-0.003508259635370544,NA,-3.3525163310761164
