Var_ln_IMAE,Var_ln_IPC,Tiempo,Mes,Var_Morosidad,Var_Tasa_interes_activa,Var_Liquidez
599.6595324404462,906.9323321030254,42,9,-0.0010072057651355978,2.289999999999999,-0.013043389295925967
328.1327869370276,737.3545955194505,43,10,-9.809749764750006e-4,-2.4000000000000004,-0.015117717286243393
764.9669850653939,709.1086072875008,44,11,-7.603092827871104e-4,-0.5999999999999996,-0.01195263466063079
281.93188185894326,765.6257675127254,45,12,-0.0030092157317088246,4.1,0.00996218038297425
1274.7970218701178,792.881711197646,46,1,-5.837551386623334e-4,-3,0.005568405040746016
1025.5932688254354,843.7391726102028,47,2,-5.424573213251745e-4,0.120000000000001,-0.012524938780850037
313.4086463981145,819.7452913327563,48,3,-0.001443433961948775,0.25,0.0175581106183732
560.6039173781685,860.0134713892071,49,4,9.535106703954105e-5,1.8099999999999987,-0.02780523762716991
648.9114993626099,725.2313644617825,50,5,-6.184070700282207e-4,1.6400000000000006,-0.006337402787685242
155.0286585388605,626.735945280581,51,6,3.2232810626525374e-4,-1.42,-8.68279541971495e-4
322.9609861037108,617.7460956618486,52,7,-2.4143108831791577e-4,0.05000000000000071,-0.00852730917541078
437.4717538572169,579.1951014804919,53,8,-2.616122307944925e-4,1.3599999999999994,-0.008117250405213439
351.6463269848646,621.1990153262725,54,9,-8.187421386557821e-4,-1.2100000000000009,-0.010042795417986361
1032.8253794394905,627.2463066514788,55,10,0.0014040972291885986,-1.6899999999999995,0.02027242898005116
381.5261654355684,597.8012677044919,56,11,-0.001485330919822541,0.20000000000000107,-1.643912536193337e-4
1029.7597882832401,640.7136854386586,57,12,-0.00129999690887218,0.7699999999999996,-0.030489056097222245
266.457196934633,745.8626561181436,58,1,-5.211729949083782e-4,3.1799999999999997,0.028543795049962573
463.2160640938032,684.3397397126339,59,2,-5.762484477715366e-4,-0.25,0.001138880965477762
309.6068347810021,657.6164778956439,60,3,3.540677866137841e-4,1.7300000000000004,-0.02263746291443952
1197.1799785704018,614.7539824684056,61,4,-0.0027341145366495383,-2.49,0.009401926956196183
463.4778372420012,744.6387254096187,62,5,2.808664278080089e-4,0.379999999999999,0.007083797091405664
392.01207491762705,795.6182283618584,63,6,2.0407764612752344e-4,-1.549999999999999,0.0011099694849346364
614.05499824748415,737.6060921385364,64,7,-2.3515369930799356e-4,2.24,0.009396474514983766
503.9642971763047,764.1046976045462,65,8,-6.88762089733029e-5,-0.21000000000000085,-0.017410336213086963
676.2347722982032,709.3481140339542,66,9,4.79424202747214e-4,0.75,-0.003794388222023215
309.303006913586,660.6652263269818,67,10,-0.005703240834402089,0.8499999999999996,-2.951215465896162e-4
258.4396518349674,610.57922987219,68,11,-2.4890805522033953e-4,-2.1999999999999993,0.00249784055717045
378.1077284216216,551.7958070539386,69,12,1.9539425301490915e-5,-1.0299999999999994,0.005868414630904706
270.6100244548004,506.18150893917857,70,1,-4.6705555442287487e-4,1.7299999999999986,0.004520852201192971
587.0509230541998,512.1678937202123,71,2,-2.214809537127542e-4,-1.3999999999999986,-0.003253279423549471
762.1911709631136,497.5238047379804,72,3,1.0446926066020462e-4,1.0999999999999996,0.030974527594166912
165.88799815124838,478.3309850399853,73,4,6.375444048290022e-4,0.6399999999999988,-0.02016583417321166
471.7404573331674,473.18712540364237,74,5,5.995473826914677e-4,-1.9899999999999984,-0.018301005386670788
556.4014004216665,587.8607677330816,75,6,3.4608846394089225e-4,0.9699999999999989,0.017967123907530136
369.2182002891986,670.6861248615592,76,7,1.8904588594343373e-4,-1.42,-0.0012709955309535004
214.99669614981622,651.1802368146391,77,8,3.16715250166192e-5,0.5,0.0023998215771727782
476.0945903712255,629.440004785966,78,9,5.212858369985432e-6,-0.7300000000000004,-0.009870000274941615
557.1742670700619,646.7158283344077,79,10,5.614971657341237e-4,-1.8899999999999988,0.014887513469222013
535.2132149412636,739.0336689792675,80,11,-4.935869553925193e-4,1.2599999999999998,-0.007000711435524942
