fecha,tasa_interes_activo,ratio_morosidad_prop,ratio_liquidez_prop,d_ln_imae,d_ln_ipc,tiempo,mes,tasa_interes_activo_real,crisis_2008,crisis_2018,crisis_covid
2010-12-01,0.1016,0.031261902848049264,0.36845665644684766,0.03498231829374632,0.08824699428114524,33,12,0.013353005718854755,1,0,0
2011-01-01,0.1117,0.03409721262737869,0.38007428693281275,0.05244783539958053,0.07712954034720543,34,1,0.034570459652794566,0,0,0
2011-02-01,0.11019999999999999,0.03414858123084692,0.4014192902927376,0.03247695692139896,0.06977676256623777,35,2,0.04042323743376222,0,0,0
2011-03-01,0.1115,0.03290325887226382,0.3717832256739364,0.079260132962931,0.06523363289454753,36,3,0.04626636710545247,0,0,0
2011-04-01,0.094,0.03244010268823818,0.3808433508755146,0.05849280676468016,0.06869803522768958,37,4,0.02530196477231042,0,0,0
2011-05-01,0.0999,0.03250388813602871,0.3758186855280453,0.08918060017786633,0.07964649236160692,38,5,0.02025350763839308,0,0,0
2011-06-01,0.09789999999999999,0.031067915725150268,0.3937331869675473,0.07530390348727067,0.08633408323596292,39,6,0.011565916764037065,0,0,0
2011-07-01,0.1008,0.03066245238497484,0.39116605468977494,0.08019467883895182,0.08111527170172206,40,7,0.019684728298277943,0,0,0
2011-08-01,0.098,0.029471033914688003,0.3709898414491124,0.06861928523540062,0.09257951073901882,41,8,0.005420489260981182,0,0,0
2011-09-01,0.1209,0.028463828149552405,0.35794645215318643,0.05996595324404463,0.09069323321030254,42,9,0.030206766789697456,0,0,0
2011-10-01,0.0969,0.027482853173077405,0.34282873486694304,0.03281327869370276,0.07373545955194505,43,10,0.02316454044805495,0,0,0
2011-11-01,0.0909,0.026722543890290294,0.33087610020631225,0.0764966985065394,0.07091086072875008,44,11,0.019989139271249914,0,0,0
2011-12-01,0.1319,0.02371332815858147,0.3408382805892865,0.028193188185894325,0.07656257675127254,45,12,0.05533742324872745,0,0,0
2012-01-01,0.10189999999999999,0.023129573019919136,0.3464066856300325,0.12747970218701177,0.0792881711197646,46,1,0.022611828880235385,0,0,0
2012-02-01,0.10310000000000001,0.022587115698593962,0.3338817468491825,0.10255932688254354,0.08437391726102028,47,2,0.01872608273897973,0,0,0
2012-03-01,0.1056,0.021143681736645187,0.3514398574675557,0.03134086463981145,0.08197452913327563,48,3,0.02362547086672437,0,0,0
2012-04-01,0.12369999999999999,0.021239032803684728,0.3236346198403858,0.05606039173781685,0.08600134713892071,49,4,0.037698652861079276,0,0,0
2012-05-01,0.1401,0.020620625733656507,0.31729721705270053,0.064891149936261,0.07252313644617825,50,5,0.06757686355382175,0,0,0
2012-06-01,0.1259,0.02094295383992176,0.31642893751072904,0.01550286585388605,0.0626735945280581,51,6,0.06322640547194192,0,0,0
2012-07-01,0.1264,0.020701522751603845,0.30790162833531826,0.03229609861037108,0.06177460956618486,52,7,0.06462539043381516,0,0,0
2012-08-01,0.14,0.020439910520809353,0.2997843779301048,0.0437471753857217,0.05791951014804919,53,8,0.08208048985195082,0,0,0
2012-09-01,0.12789999999999999,0.01962116838215357,0.28974158251211846,0.03516463269848646,0.06211990153262725,54,9,0.06578009846737273,0,0,0
2012-10-01,0.111,0.02102526561134217,0.3100140114921696,0.10328253794394904,0.06272463066514788,55,10,0.04827536933485212,0,0,0
2012-11-01,0.113,0.019539934691519628,0.3098496202385503,0.03815261654355684,0.05978012677044919,56,11,0.05321987322955081,0,0,0
2012-12-01,0.1207,0.018239937782647448,0.27936056414132804,0.102975978828324,0.06407136854386586,57,12,0.05662863145613414,0,0,0
2013-01-01,0.1525,0.01771876478773907,0.3079043591912906,0.0266457196934633,0.07458626561181436,58,1,0.07791373438818563,0,0,0
2013-02-01,0.15,0.017142516339967533,0.3090432401567684,0.04632160640938032,0.06843397397126338,59,2,0.08156602602873661,0,0,0
2013-03-01,0.1673,0.017496584126581317,0.28640577724232885,0.03096068347810021,0.06576164778956439,60,3,0.10153835221043561,0,0,0
2013-04-01,0.1424,0.014762469589931779,0.29580770419852503,0.11971799785704018,0.06147539824684056,61,4,0.08092460175315944,0,0,0
2013-05-01,0.1462,0.015043336017739788,0.3028915012899307,0.04634778372420012,0.07446387254096187,62,5,0.07173612745903812,0,0,0
2013-06-01,0.1307,0.015247413663867311,0.30400147077486533,0.0392012074917627,0.07956182283618585,63,6,0.051138177163814164,0,0,0
2013-07-01,0.15310000000000001,0.015012259964559318,0.3133979452898491,0.06140549982474841,0.07376060921385363,64,7,0.07933939078614638,0,0,0
2013-08-01,0.151,0.014943383755586015,0.29598760907676214,0.05039642971763047,0.07641046976045462,65,8,0.07458953023954537,0,0,0
2013-09-01,0.1585,0.015422807958333229,0.2921932208547389,0.06762347722982032,0.07093481140339541,66,9,0.08756518859660459,0,0,0
2013-10-01,0.16699999999999998,0.00971956712393114,0.2918980993081493,0.0309303006913586,0.06606652263269819,67,10,0.1009334773673018,0,0,0
2013-11-01,0.145,0.0094706590687108,0.29439593986531976,0.02584396518349674,0.06105792298721901,68,11,0.08394207701278097,0,0,0
2013-12-01,0.13470000000000001,0.009490198494012291,0.30026435449622446,0.03781077284216216,0.05517958070539386,69,12,0.07952041929460615,0,0,0
2014-01-01,0.152,0.009023142939589416,0.30478520669741743,0.02706100244548004,0.05061815089391786,70,1,0.10138184910608214,0,0,0
2014-02-01,0.138,0.008801661985876662,0.30153192727386796,0.05870509230541998,0.05121678937202123,71,2,0.08678321062797878,0,0,0
2014-03-01,0.149,0.008906131246536867,0.3325064548680349,0.07621911709631135,0.04975238047379804,72,3,0.09924761952620195,0,0,0
2014-04-01,0.15539999999999998,0.009543675651365869,0.3123406206948232,0.01658879981512484,0.04783309850399853,73,4,0.10756690149600145,0,0,0
2014-05-01,0.1355,0.010143223034057337,0.2940396153081524,0.04717404573331674,0.04731871254036424,74,5,0.08818128745963577,0,0,0
2014-06-01,0.1452,0.010489311497998229,0.31200673921568256,0.05564014004216666,0.05878607677330816,75,6,0.08641392322669184,0,0,0
2014-07-01,0.131,0.010678357383941663,0.31073574368472906,0.03692182002891986,0.06706861248615592,76,7,0.06393138751384408,0,0,0
2014-08-01,0.136,0.010710028908958282,0.31313556526190184,0.02149966961498162,0.06511802368146391,77,8,0.0708819763185361,0,0,0
2014-09-01,0.12869999999999998,0.010715241767328267,0.3032655649869602,0.04760945903712255,0.0629440004785966,78,9,0.06575599952140337,0,0,0
2014-10-01,0.10980000000000001,0.011276738933062391,0.31815307845618224,0.05571742670700619,0.06467158283344077,79,10,0.04512841716655924,0,0,0
2014-11-01,0.12240000000000001,0.010783151977669872,0.3111523670206573,0.05352132149412636,0.07390336689792676,80,11,0.04849663310207325,0,0,0
2014-12-01,0.1223,0.010542465426085603,0.32226436560917143,0.06334224218558582,0.06278315485263786,81,12,0.05951684514736215,0,0,0
2015-01-01,0.1197,0.010221666709152788,0.3097500499531504,0.04612100611204806,0.05304772026323512,82,1,0.06665227973676488,0,0,0
2015-02-01,0.1175,0.009685455786788637,0.31675537197075215,0.04017150177220063,0.05360806822296915,83,2,0.06389193177703084,0,0,0
2015-03-01,0.1082,0.009499155221750856,0.3179971230148788,0.05237571351050274,0.05758080032986079,84,3,0.05061919967013921,0,0,0
2015-04-01,0.1241,0.009173025159731783,0.32302372432529486,0.01929122577092101,0.05517707492160184,85,4,0.06892292507839816,0,0,0
2015-05-01,0.1223,0.009646738849638068,0.3251145092916405,0.03308891476817077,0.05090992066657041,86,5,0.0713900793334296,0,0,0
2015-06-01,0.1149,0.009579851907420164,0.31186014293483233,0.03490043761681782,0.03749437858670301,87,6,0.07740562141329699,0,0,0
2015-07-01,0.12480000000000001,0.009580980271500474,0.3154163386773764,0.05033618166232667,0.03034494927890918,88,7,0.09445505072109082,0,0,0
2015-08-01,0.134,0.009796477389987221,0.3037516005647017,0.06228118383592118,0.027102795690987936,89,8,0.10689720430901208,0,0,0
2015-09-01,0.1278,0.009548773754441766,0.2891314223280914,0.07217884778090689,0.02728944060391303,90,9,0.10051055939608697,0,0,0
2015-10-01,0.121,0.00986149187315858,0.29175394326566484,0.06375622642728462,0.02986406845254308,91,10,0.09113593154745692,0,0,0
2015-11-01,0.11349999999999999,0.009960640452649772,0.28585119666847,0.04885077206665933,0.01965030961545366,92,11,0.09384969038454632,0,0,0
2015-12-01,0.1157,0.00934071459784857,0.3065129835094008,0.0374903332880363,0.03005024349978935,93,12,0.08564975650021064,0,0,0
2016-01-01,0.1369,0.00944633485396666,0.3188027525036124,0.04037397530710773,0.03141839718705253,94,1,0.10548160281294747,0,0,0
2016-02-01,0.11710000000000001,0.009256407354890117,0.3184136107689405,0.04734055885360888,0.03345455796590269,95,2,0.08364544203409732,0,0,0
2016-03-01,0.1003,0.009402790932005958,0.3302569144745611,0.02736400976441189,0.03587735749421128,96,3,0.06442264250578872,0,0,0
2016-04-01,0.1192,0.009453699162189374,0.3234146227175597,0.06974871983584752,0.03529839111537836,97,4,0.08390160888462164,0,0,0
2016-05-01,0.1211,0.010112950365924543,0.29820814524558986,0.06286802586499451,0.03588082753010635,98,5,0.08521917246989365,0,0,0
2016-06-01,0.1184,0.010311878334952179,0.30079627568413175,0.0684284954787433,0.03502624224240058,99,6,0.08337375775759942,0,0,0
2016-07-01,0.11109999999999999,0.010604913607773356,0.3166575416944747,0.029915228923372606,0.04030707497819019,100,7,0.07079292502180981,0,0,0
2016-08-01,0.11410000000000001,0.00997979340300675,0.308506487871695,0.05529305303908849,0.03677093389498509,101,8,0.07732906610501492,0,0,0
2016-09-01,0.114,0.009906433842122192,0.3052667004443238,0.01819956778163245,0.03462162466017116,102,9,0.07937837533982885,0,0,0
2016-10-01,0.09519999999999999,0.01034986453740411,0.290054042776846,0.01752235069220287,0.03341280164413263,103,10,0.061787198355867365,0,0,0
2016-11-01,0.1137,0.00990609297966869,0.2991164539337201,0.04888635963869969,0.03253905051872063,104,11,0.08116094948127936,0,0,0
2016-12-01,0.1115,0.009017318474645682,0.30610946484377405,0.0509313989100546,0.030828017333321956,105,12,0.08067198266667805,0,0,0
2017-01-01,0.11410000000000001,0.00933225135062387,0.3148333666816077,0.07891819952730206,0.03810806376883136,106,1,0.07599193623116865,0,0,0
2017-02-01,0.12029999999999999,0.009453886744830517,0.32605689097144447,0.05946957542384634,0.03628344767083735,107,2,0.08401655232916264,0,0,0
2017-03-01,0.09880000000000001,0.009392828629635058,0.32672581054526956,0.07922472932587876,0.03118516106879898,108,3,0.06761483893120103,0,0,0
2017-04-01,0.1306,0.009687783532612439,0.3174994324365333,0.0241972741307217,0.03301290090780728,109,4,0.09758709909219271,0,0,0
2017-05-01,0.12140000000000001,0.009966353972351162,0.2986831768410416,0.04445176257083361,0.02866096945513163,110,5,0.09273903054486837,0,0,0
2017-06-01,0.12269999999999999,0.009440242593958087,0.3009508329442697,0.04288309694200798,0.030164063711352707,111,6,0.09253593628864729,0,0,0
2017-07-01,0.102,0.009732282193530397,0.3194042663184858,0.03377526486103388,0.03080223643366153,112,7,0.07119776356633846,0,0,0
2017-08-01,0.10679999999999999,0.01038989860139107,0.30425110385534054,0.03292992488218171,0.03414625986239184,113,8,0.07265374013760816,0,0,0
2017-09-01,0.0794,0.010701094929411173,0.3052912459921783,0.02950268861075145,0.04041356128274298,114,9,0.038986438717257016,0,0,0
2017-10-01,0.08259999999999999,0.010683146275956252,0.3082288735670887,0.03712662296188895,0.0427684533699173,115,10,0.03983154663008269,0,0,0
2017-11-01,0.1051,0.011821822572863143,0.3187215764541687,0.05459360100466259,0.05209588087903594,116,11,0.05300411912096406,0,0,0
2017-12-01,0.11810000000000001,0.010612957264036028,0.30654875874470194,0.02759112831521548,0.05525298278659107,117,12,0.06284701721340893,0,0,0
2018-01-01,0.129,0.011088092226268218,0.3046610549077399,0.0315025435054066,0.0521865970413895,118,1,0.0768134029586105,0,0,0
2018-02-01,0.0848,0.010901448856798179,0.3037466469476369,0.02203819086989789,0.04701411120302534,119,2,0.037785888796974663,0,0,0
2018-03-01,0.0805,0.011017267341203365,0.3175951878049615,0.021221633736268498,0.04724225271704885,120,3,0.03325774728295115,0,0,0
2018-04-01,0.1043,0.011369256427029649,0.307324456498388,0.04146761795027043,0.0470923947801456,121,4,0.05720760521985441,0,0,0
2018-05-01,0.09570000000000001,0.01259951365964422,0.33590951291974497,-0.05740096905001035,0.05128838061202678,122,5,0.04441161938797323,0,1,0
2018-06-01,0.1035,0.01480258092851379,0.3477605328301711,-0.14498277358283929,0.05512905990083183,123,6,0.04837094009916817,0,1,0
2018-07-01,0.1117,0.01819132319898021,0.3676677954178279,-0.05643930841986755,0.05041962517849541,124,7,0.061280374821504585,0,1,0
2018-08-01,0.1017,0.021874001481097083,0.36107182692742634,-0.03440110342758729,0.04833565843658327,125,8,0.053364341563416726,0,1,0
2018-09-01,0.1206,0.023445719003317225,0.373973713474334,-0.04211584721002381,0.05008774873220201,126,9,0.07051225126779799,0,1,0
2018-10-01,0.121,0.024325305441537423,0.3653830238287326,-0.0750578452852988,0.04977611047482444,127,10,0.07122388952517555,0,1,0
2018-11-01,0.121,0.02909084487880437,0.3703216952554152,-0.06613876455395751,0.04301688051469199,128,11,0.077983119485308,0,1,0
2018-12-01,0.1336,0.02643166040922772,0.3513428229842694,-0.05824623007292651,0.0380878848197872,129,12,0.0955121151802128,0,1,0
2019-02-01,0.1183,0.03200965359613085,0.4265484070157441,-0.09715976482635648,0.03302099309309092,130,2,0.08527900690690908,0,1,0
2019-03-01,0.1288,0.03445004785751565,0.4425164717081042,-0.11502768011863472,0.0496463036603938,131,3,0.0791536963396062,0,1,0
2019-04-01,0.12960000000000002,0.03599154782770428,0.44979833535188113,-0.07608388307183311,0.05613043123034256,132,4,0.07346956876965746,0,1,0
2019-05-01,0.13269999999999998,0.037715911265020476,0.46996170139053034,-0.03158864795172533,0.05821077539990327,133,5,0.07448922460009672,0,1,0
2019-06-01,0.1371,0.03808698186662659,0.4632165508041195,0.04555280132852069,0.05475927720525409,134,6,0.08234072279474591,0,1,0
